proposal_id,proposal_title,country,Investigators,observation_band,total_hrs_requested,reviewer1,reviewer1_score,reviewer2,reviewer2_score,reviewer3,reviewer3_score,total_hrs_recommended
prop-001,The origin of ORCs: a new class of astronomical objects?,Canada,"{""pi"": {""pi_fullname"": ""Alys Wright"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Ida Mullins"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Bailey David"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Silas Stein"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Howard Koch"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Kabir Charles"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Duncan Holder"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Imran Rubio"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",UHF,64.00,P. Fuentes,9.6,D. Piraino,4.6,P. Roosevelt,9.4,64.00
prop-002,Characterising large-scale overdense structures at z = 2.2 by identifying their radio members,Sweden,"{""pi"": {""pi_fullname"": ""Maia Mccoy"", ""pi_country"": ""Sweden""}, ""tech_lead"": {""tech_lead_fullname"": ""Keane Randall"", ""tech_lead_country"": ""Ghana""}, ""co_pis"": [{""co_pi_fullname"": ""Asa Chen"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Imran Rubio"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Abel Contreras"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Seth Curtis"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Maisy Dejesus"", ""co_pi_country"": ""Sweden"", ""is_student"": false}]}",S-Band,22.00,A. Li,9.2,C. Maas,8.1,K. Angioli,4.9,22.00
prop-003,A MeerKAT Atlas of IRAS RBGS Galaxies in the Southern Hemisphere,China,"{""pi"": {""pi_fullname"": ""Kabir Charles"", ""pi_country"": ""China""}, ""tech_lead"": {""tech_lead_fullname"": ""Tilly Yoder"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Maariyah Harding"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Kieran Crane"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Tamsin Pugh"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Maisy Dejesus"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Wayne Palmer"", ""co_pi_country"": ""China"", ""is_student"": false}]}",L-Band,82.00,D. Piraino,8.5,K. Angioli,7,N. Katou,5.1,82.00
prop-004,The JO135 jellyfish galaxy: A MeerKAT perspective,Italy,"{""pi"": {""pi_fullname"": ""Duncan Holder"", ""pi_country"": ""Italy""}, ""tech_lead"": {""tech_lead_fullname"": ""Connie Gallagher"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Amina Edwards"", ""co_pi_country"": ""Italy"", ""is_student"": false}]}",X-Band,11.66,P. Roosevelt,9.3,A. Li,7.6,N. Katou,9.8,8.75
prop-005,RESOLVING HI EMISSION AT KPC SCALES OF ULTRA DIFFUSE GALAXIES,South Africa,"{""pi"": {""pi_fullname"": ""Maximillian Walker"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Wiktor Church"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": []}",L-Band,48.00,N. Katou,9.5,A. Li,5.5,P. Fuentes,6.9,43.00
prop-006,From Galaxy Disk to CGM -- Deep Magnetized Halos,Canada,"{""pi"": {""pi_fullname"": ""Emilio Garza"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Silas Stein"", ""tech_lead_country"": ""Spain""}, ""co_pis"": [{""co_pi_fullname"": ""Kylie Logan"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Marshall Lester"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Stuart Farrell"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Tilly Yoder"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Ayah Escobar"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Adelaide Villarreal"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",UHF,36.00,P. Norton,6.9,A. Li,6.4,C. Maas,9.4,29.25
prop-007,Radio galaxy harassment caught in the act,Germany,"{""pi"": {""pi_fullname"": ""Naomi Keith"", ""pi_country"": ""Germany""}, ""tech_lead"": {""tech_lead_fullname"": ""Herbie Lin"", ""tech_lead_country"": ""Spain""}, ""co_pis"": [{""co_pi_fullname"": ""Marshall Lester"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Abraham Beasley"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Mike Matthews"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Arron Simpson"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Naomi Keith"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Howard Koch"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Bertha Lopez"", ""co_pi_country"": ""Germany"", ""is_student"": false}]}",X-Band,4.50,P. Roosevelt,5.1,D. Piraino,7.8,A. Li,8.6,4.50
prop-008,Revealing the nature of IGR J11014-6103 jets with MeerKAT,France,"{""pi"": {""pi_fullname"": ""Rex Harmon"", ""pi_country"": ""France""}, ""tech_lead"": {""tech_lead_fullname"": ""Harvey Richards"", ""tech_lead_country"": ""China""}, ""co_pis"": [{""co_pi_fullname"": ""Olivia Moreno"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Amanda Bush"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Gregory Leach"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Arron Simpson"", ""co_pi_country"": ""France"", ""is_student"": false}]}",UHF,2.66,A. Li,5.9,C. Maas,8.7,N. Katou,8.7,2.66
prop-009,Resolving Ultra-Diffuse Galaxies in HI,South Africa,"{""pi"": {""pi_fullname"": ""Maximillian Walker"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Gwen Stuart"", ""tech_lead_country"": ""Italy""}, ""co_pis"": [{""co_pi_fullname"": ""Emilio Garza"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Emilio Garza"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Agnes Lambert"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Gregory Leach"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Silas Stein"", ""co_pi_country"": ""South Africa"", ""is_student"": false}]}",S-Band,17.00,D. Piraino,9.7,N. Katou,8.1,P. Norton,4.8,17.00
prop-010,Magnetic field structure in the jellyfish galaxy JO194,Italy,"{""pi"": {""pi_fullname"": ""Laurence Reid"", ""pi_country"": ""Italy""}, ""tech_lead"": {""tech_lead_fullname"": ""Gwen Stuart"", ""tech_lead_country"": ""Italy""}, ""co_pis"": [{""co_pi_fullname"": ""Harri Carlson"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Christine Joyce"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Effie Fitzpatrick"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Nana Shepard"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Kylie Logan"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Olivia Moreno"", ""co_pi_country"": ""Italy"", ""is_student"": false}]}",S-Band,12.00,K. Angioli,4.9,N. Katou,6,D. Piraino,5.5,12.00
prop-011,Imaging new diffuse cluster radio sources selected at low frequencies,India,"{""pi"": {""pi_fullname"": ""Maisy Dejesus"", ""pi_country"": ""India""}, ""tech_lead"": {""tech_lead_fullname"": ""Abdulrahman Blanchard"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Cecilia Hutchinson"", ""co_pi_country"": ""India"", ""is_student"": false}]}",L-Band,8.00,K. Angioli,8.9,D. Piraino,4.9,C. Maas,6.7,8.00
